Period,15-34 M,15-34 F,35-49 M,35-49 F,50-74 M,50-74 F,Global_Rate
2021-Q4  ,16.403172,17.050721,6.546625,8.992818,5.341751,5.878319,9.073822
2022-Q1  ,14.586551,17.490739,6.499325,8.704104,5.141325,5.958286,8.750451
2022-Q2  ,12.252724,16.017353,5.818153,8.934103,4.625527,5.309488,7.963626
2022-Q3  ,12.081452,16.108163,4.98506,8.657546,4.509764,5.433877,7.712102
2022-Q4  ,12.926681,16.138227,5.70591,7.777232,4.737348,5.754637,7.948212
2023-Q1  ,13.591319,15.522429,6.153434,8.837224,4.857514,5.999298,8.300061
2023-Q2  ,12.160447,13.588137,5.4859,8.040538,4.544968,5.573097,7.478281
2023-Q3  ,11.735291,14.482678,5.226658,8.728392,3.834477,4.892185,7.277107
2023-Q4  ,12.463177,14.794626,5.570218,8.173678,4.135628,5.213132,7.549762
2024-Q1  ,12.365911,14.369536,5.682832,8.537508,4.504719,5.837779,7.728341
2024-Q2  ,10.868221,13.0008,4.814713,7.091986,4.057952,4.814553,6.676092
2024-Q3  ,10.391842,10.590439,4.218075,5.802678,3.030988,3.656154,5.602594
2024-Q4,10.925559,12.40033,4.410602,6.221986,3.202396,4.001726,6.052437
2025-Q1,11.640231,13.868486,4.948448,7.037018,4.070563,4.589607,6.820864
